TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_D1,XAUUSD,1132,2021.06.15 00:00,1866.53,1869.09,1851.44,1858.91,115020.0,1764.9999999999864,761.9999999999891
PERIOD_D1,XAUUSD,1131,2021.06.16 00:00,1859.11,1863.09,1803.19,1811.34,116623.0,5989.999999999986,4776.999999999998
PERIOD_D1,XAUUSD,1130,2021.06.17 00:00,1811.36,1825.23,1767.1,1772.99,223480.0,5813.000000000011,3836.999999999989
PERIOD_D1,XAUUSD,1129,2021.06.18 00:00,1772.97,1797.07,1760.75,1764.13,178757.0,3631.9999999999936,883.9999999999918
PERIOD_D1,XAUUSD,1128,2021.06.21 00:00,1767.04,1786.47,1766.35,1783.47,178428.0,2012.0000000000118,1643.0000000000064
PERIOD_D1,XAUUSD,1127,2021.06.22 00:00,1783.08,1790.04,1772.34,1778.51,145002.0,1770.0000000000045,456.99999999999363
PERIOD_D1,XAUUSD,1126,2021.06.23 00:00,1778.95,1794.88,1773.22,1778.37,129061.0,2166.000000000008,58.00000000001546
PERIOD_D1,XAUUSD,1125,2021.06.24 00:00,1778.63,1787.93,1772.69,1774.88,122486.0,1524.000000000001,375.0
PERIOD_D1,XAUUSD,1124,2021.06.25 00:00,1775.44,1790.38,1773.64,1781.2,112781.0,1674.000000000001,575.9999999999991
PERIOD_D1,XAUUSD,1123,2021.06.28 00:00,1781.4,1785.75,1770.57,1778.72,126489.0,1518.0000000000064,268.00000000000637
PERIOD_D1,XAUUSD,1122,2021.06.29 00:00,1778.27,1778.85,1750.58,1761.1,127329.0,2826.999999999998,1717.0000000000073
PERIOD_D1,XAUUSD,1121,2021.06.30 00:00,1761.25,1774.31,1753.31,1769.99,120634.0,2100.0,874.0000000000009
PERIOD_D1,XAUUSD,1120,2021.07.01 00:00,1769.77,1782.78,1765.66,1776.46,118851.0,1711.999999999989,669.0000000000055
PERIOD_D1,XAUUSD,1119,2021.07.02 00:00,1776.97,1795.01,1774.09,1787.3,112991.0,2092.0000000000073,1032.9999999999927
PERIOD_D1,XAUUSD,1118,2021.07.05 00:00,1786.98,1794.37,1784.42,1791.69,57020.0,994.9999999999818,471.00000000000364
PERIOD_D1,XAUUSD,1117,2021.07.06 00:00,1791.36,1814.95,1790.03,1796.83,133264.0,2492.0000000000073,547.0000000000027
PERIOD_D1,XAUUSD,1116,2021.07.07 00:00,1796.6,1809.76,1793.57,1803.28,139242.0,1619.0000000000055,668.0000000000064
PERIOD_D1,XAUUSD,1115,2021.07.08 00:00,1803.49,1818.4,1793.34,1802.23,161998.0,2506.0000000000173,125.99999999999909
PERIOD_D1,XAUUSD,1114,2021.07.09 00:00,1802.57,1812.31,1796.6,1808.22,128382.0,1571.0000000000036,565.0000000000091
PERIOD_D1,XAUUSD,1113,2021.07.12 00:00,1807.66,1810.74,1791.05,1806.06,122129.0,1969.0000000000055,160.00000000001364
